[2012-04-24-09:46:58][sqlsync.groovy.SqlSync]: SQLSync Start dbName: test, dbHost: localhost
[2012-04-24-09:46:58][sqlsync.groovy.transaction.SqlSyncTransaction]: Syncing script 267 dbName: test, dbHost: localhost
[2012-04-24-09:46:58][sqlsync.groovy.transaction.SqlSyncTransaction]: Sql error running 267
[2012-04-24-09:46:58][sqlsync.groovy.transaction.SqlSyncTransaction]: Table 'alternative_payment_method' already exists
[2012-04-24-09:46:58][sqlsync.groovy.transaction.SqlSyncTransaction]: Syncing script 268 dbName: test, dbHost: localhost
[2012-04-24-09:46:58][sqlsync.groovy.transaction.SqlSyncTransaction]: Syncing script 269 dbName: test, dbHost: localhost
[2012-04-24-09:46:58][sqlsync.groovy.transaction.SqlSyncTransaction]: Syncing script 270 dbName: test, dbHost: localhost
[2012-04-24-09:46:58][sqlsync.groovy.transaction.SqlSyncTransaction]: Syncing script 271 dbName: test, dbHost: localhost
[2012-04-24-09:46:58][sqlsync.groovy.transaction.SqlSyncTransaction]: Syncing script 272 dbName: test, dbHost: localhost
[2012-04-24-09:46:58][sqlsync.groovy.transaction.SqlSyncTransaction]: Syncing script 273 dbName: test, dbHost: localhost
[2012-04-24-09:46:58][sqlsync.groovy.transaction.SqlSyncTransaction]: Syncing script 274 dbName: test, dbHost: localhost
[2012-04-24-09:46:58][sqlsync.groovy.transaction.SqlSyncTransaction]: Syncing script 275 dbName: test, dbHost: localhost
[2012-04-24-09:46:58][sqlsync.groovy.transaction.SqlSyncTransaction]: Syncing script 276 dbName: test, dbHost: localhost
[2012-04-24-09:46:58][sqlsync.groovy.transaction.SqlSyncTransaction]: Syncing script 277 dbName: test, dbHost: localhost
[2012-04-24-09:46:58][sqlsync.groovy.transaction.SqlSyncTransaction]: Syncing script 278 dbName: test, dbHost: localhost
[2012-04-24-09:46:58][sqlsync.groovy.transaction.SqlSyncTransaction]: Syncing script 279 dbName: test, dbHost: localhost
[2012-04-24-09:46:58][sqlsync.groovy.transaction.SqlSyncTransaction]: Syncing script 280 dbName: test, dbHost: localhost
[2012-04-24-09:46:58][sqlsync.groovy.transaction.SqlSyncTransaction]: Syncing script 281 dbName: test, dbHost: localhost
[2012-04-24-09:46:58][sqlsync.groovy.transaction.SqlSyncTransaction]: Syncing script 282 dbName: test, dbHost: localhost
[2012-04-24-09:46:58][sqlsync.groovy.transaction.SqlSyncTransaction]: Syncing script 283 dbName: test, dbHost: localhost
[2012-04-24-09:46:58][sqlsync.groovy.transaction.SqlSyncTransaction]: Syncing script 284 dbName: test, dbHost: localhost
[2012-04-24-09:46:58][sqlsync.groovy.transaction.SqlSyncTransaction]: Syncing script 285 dbName: test, dbHost: localhost
[2012-04-24-09:46:58][sqlsync.groovy.transaction.SqlSyncTransaction]: Syncing script 286 dbName: test, dbHost: localhost
[2012-04-24-09:46:58][sqlsync.groovy.transaction.SqlSyncTransaction]: Syncing script 287 dbName: test, dbHost: localhost
[2012-04-24-09:46:58][sqlsync.groovy.transaction.SqlSyncTransaction]: Syncing script 288 dbName: test, dbHost: localhost
[2012-04-24-09:46:58][sqlsync.groovy.transaction.SqlSyncTransaction]: Syncing script 289 dbName: test, dbHost: localhost
[2012-04-24-09:46:58][sqlsync.groovy.transaction.SqlSyncTransaction]: Syncing script 290 dbName: test, dbHost: localhost
[2012-04-24-09:46:58][sqlsync.groovy.transaction.SqlSyncTransaction]: Syncing script 291 dbName: test, dbHost: localhost
[2012-04-24-09:46:58][sqlsync.groovy.transaction.SqlSyncTransaction]: Syncing script 292 dbName: test, dbHost: localhost
[2012-04-24-09:46:58][sqlsync.groovy.transaction.SqlSyncTransaction]: Syncing script 293 dbName: test, dbHost: localhost
[2012-04-24-09:46:58][sqlsync.groovy.transaction.SqlSyncTransaction]: Syncing script 294 dbName: test, dbHost: localhost
[2012-04-24-09:46:58][sqlsync.groovy.transaction.SqlSyncTransaction]: Syncing script 295 dbName: test, dbHost: localhost
[2012-04-24-09:46:58][sqlsync.groovy.transaction.SqlSyncTransaction]: Syncing script 296 dbName: test, dbHost: localhost
[2012-04-24-09:46:58][sqlsync.groovy.transaction.SqlSyncTransaction]: Syncing script 297 dbName: test, dbHost: localhost
[2012-04-24-09:47:02][sqlsync.groovy.post.PostSqlSync]: Error syncing script 267 dbName: test, dbHost: localhost
[2012-04-24-09:47:02][sqlsync.groovy.post.PostSqlSync]: Script synced 268 dbName: test, dbHost: localhost
[2012-04-24-09:47:02][sqlsync.groovy.post.PostSqlSync]: Script synced 269 dbName: test, dbHost: localhost
[2012-04-24-09:47:02][sqlsync.groovy.post.PostSqlSync]: Script synced 270 dbName: test, dbHost: localhost
[2012-04-24-09:47:02][sqlsync.groovy.post.PostSqlSync]: Script synced 271 dbName: test, dbHost: localhost
[2012-04-24-09:47:02][sqlsync.groovy.post.PostSqlSync]: Script synced 272 dbName: test, dbHost: localhost
[2012-04-24-09:47:02][sqlsync.groovy.post.PostSqlSync]: Script synced 273 dbName: test, dbHost: localhost
[2012-04-24-09:47:02][sqlsync.groovy.post.PostSqlSync]: Script synced 274 dbName: test, dbHost: localhost
[2012-04-24-09:47:02][sqlsync.groovy.post.PostSqlSync]: Script synced 275 dbName: test, dbHost: localhost
[2012-04-24-09:47:02][sqlsync.groovy.post.PostSqlSync]: Script synced 276 dbName: test, dbHost: localhost
[2012-04-24-09:47:02][sqlsync.groovy.post.PostSqlSync]: Script synced 277 dbName: test, dbHost: localhost
[2012-04-24-09:47:02][sqlsync.groovy.post.PostSqlSync]: Script synced 278 dbName: test, dbHost: localhost
